Major,Mac Giany,Mathematics,2002,2023,1
Filbert,Cragoe,Informatics,1995,2023,2
Dory,Dockwra,Languages,2002,1989,3
Yehudit,Gething,Mathematics,2001,2023,4
Mae,Tomankiewicz,Informatics,2002,2023,5
Sabrina,Bresson,Chemistry,2005,2008,6
Inez,Keddey,Mathematics,2002,2006,7
Clevey,Blasl,Informatics,2001,2023,8
Cindee,Seeks,Chemistry,2002,2023,9
Yolanda,Sigmund,Chemistry,2004,2006,10
Justino,Appleford,Mathematics,2002,2023,11
Mattie,Rustadge,Informatics,2004,2023,12
Arturo,Stonary,Mathematics,2002,2001,13
Christie,Banger,Informatics,1996,2022,14
Ash,Krout,Chemistry,2002,2007,15
Boothe,McGuffie,Mathematics,2001,2023,16
Candis,Fontenot,Informatics,2002,2022,17
Chevy,Rapper,Chemistry,1995,2022,18
Rudy,Doggrell,Mathematics,2002,2020,19
Lauretta,Nisius,Informatics,2006,2023,20
Vincents,Lerer,Chemistry,2002,2021,21
Roana,Janosevic,Mathematics,2001,2021,22
Saul,Pascoe,Informatics,2002,2009,23
Herta,Bauldrey,Mathematics,2001,2023,24
Zebulen,Waitland,Informatics,2002,2021,25
Laverne,Holbie,Languages,2001,2022,26
Shaine,Brodie,Mathematics,2002,2022,27
Berti,Samudio,Mathematics,1996,2019,28
Remus,Jullian,Informatics,2002,2022,29
Andros,Shafto,Chemistry,1993,2023,30
Alberik,Hayford,Mathematics,2002,2021,31
Caye,Gilder,Informatics,1996,2021,32
Randy,Honnan,Mathematics,2002,2020,33
Dewie,Aizkovitch,Chemistry,2004,2023,34
Scarlett,Pickaver,Languages,2002,2023,35
Ashil,Popple,Informatics,1993,2021,36
Paige,Denmead,Mathematics,2002,2019,37
Arnuad,Note,Informatics,2000,2019,38
Gaspard,Mowett,Mathematics,2002,2020,39
Heindrick,Sulland,Informatics,2001,2019,40
Stevy,Mothersdale,Chemistry,2002,2019,41
Gianna,Waggatt,Mathematics,1994,2019,42
Giles,Pancoust,Informatics,2002,2022,43
Jo-ann,Woolliams,Chemistry,2001,2021,44
Mathew,Argabrite,Mathematics,2002,2023,45
Sayre,Ughini,Informatics,2001,2021,46
Rivalee,Jacques,Chemistry,2002,2022,47
Noe,Sholem,Chemistry,2001,2021,48
Kele,Scandred,Mathematics,2002,2019,49
Regan,Griffoen,Informatics,2002,2019,50
